date,Ticker,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,EMA_20,EMA_50,SMA_20,SMA_200,BB_upper,BB_lower,ticker,Macro_OK,future_close,future_return,target,tabular_score
2022-10-01,AAPL,138.1999969482422,143.10000610351562,138.0,141.27999877929688,124925300.0,23.68342810707009,-4.465030917746475,-3.3618269941755092,149.82868667809475,,150.87149658203123,,155.54562419292327,132.6463679945767,AAPL,True,147.27000427246094,0.06562957687774475,1,0.9668712663413517
2022-10-02,AAPL,138.1999969482422,143.10000610351562,138.0,141.27999877929688,124925300.0,23.683428107070085,-4.837631295004968,-3.656987854341401,148.72119241810879,,149.6099967956543,,150.46667050558278,132.3013226584797,AAPL,True,147.27000427246094,0.06562957687774475,1,0.9668712663413517
2022-10-08,AAPL,140.08999633789062,143.10000610351562,139.4499969482422,142.5399932861328,85925600.0,34.757158874026125,-3.862948170342662,-3.8623773836086843,146.20574303297622,,146.9569969177246,,149.42383826716775,137.82015587345722,AAPL,True,155.74000549316406,0.11171396648142053,1,0.9782769573599921
2022-10-09,AAPL,140.08999633789062,143.10000610351562,139.4499969482422,142.5399932861328,85925600.0,34.75715887402611,-3.8841087725411967,-3.866723661395187,145.62329096677757,,146.2374969482422,,148.16018037695179,136.67980985742318,AAPL,True,155.74000549316406,0.11171396648142053,1,0.9732769573599922
2022-10-10,AAPL,140.4199981689453,141.88999938964844,138.57000732421875,140.4199981689453,74899000.0,35.63126184663092,-3.830099311700451,-3.8593987914562398,145.12773927174592,153.11379791259765,145.41349716186525,,145.4377530838081,137.0102388595513,AAPL,True,155.74000549316406,0.1091013212077285,1,0.984946392575939
2022-10-11,AAPL,138.97999572753906,141.35000610351562,138.22000122070312,139.89999389648438,77033700.0,33.52080839400475,-3.8590083412770184,-3.859320701420396,144.54223988658336,152.55953116024241,144.67649688720704,,140.9216495349815,138.946343629081,AAPL,True,153.33999633789062,0.1033242268801287,1,0.9823846641808773
2022-10-12,AAPL,138.33999633789062,140.36000061035156,138.16000366210938,139.1300048828125,70433700.0,32.596707634417456,-3.8887346452046927,-3.8652034901772554,143.95155002480308,152.0019023436796,143.95649642944338,,141.1647113061561,138.00328185790642,AAPL,True,150.64999389648438,0.08898364814559492,1,0.9783193986941516
2022-11-03,AAPL,138.8800048828125,142.8000030517578,138.75,142.05999755859375,97918500.0,38.3239372159679,0.6187820655415521,1.1893058624888055,147.57354556728768,149.25942415246269,147.15200195312502,,160.88665153513156,136.5693482207278,AAPL,True,151.07000732421875,0.08777363200478155,1,0.9705695522748271
2022-11-04,AAPL,138.3800048828125,142.6699981689453,134.3800048828125,142.08999633789062,140814800.0,37.806166180941176,-0.1963623992506882,0.9121722101409069,146.69797026400434,148.8327802595352,147.15200195312502,,157.33672377668142,133.17527573503736,AAPL,True,151.07000732421875,0.09170401787565201,1,0.9655695522748271
2022-11-05,AAPL,138.3800048828125,142.6699981689453,134.3800048828125,142.08999633789062,140814800.0,37.80616618094117,-0.8327705993101233,0.5631836482507009,145.90578308484322,148.42286749966374,147.152001953125,,152.04553107826334,132.4824718514242,AAPL,True,148.11000061035156,0.07031359578126144,1,0.9597492696066163
