Ticker,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,EMA_20,EMA_50,SMA_20,SMA_200,BB_upper,BB_lower,ticker,date,Macro_OK,future_close,future_return,target
AAPL,173.19000244140625,173.38999938964844,171.35000610351562,171.52000427246094,54091700.0,,,,,,,,,,AAPL,,True,155.80999755859375,-0.10035224110983262,0
AAPL,173.02999877929688,173.7100067138672,171.66000366210938,172.77999877929688,56377100.0,0.0,,,,,,,,,AAPL,,True,155.80999755859375,-0.09952032215331384,0
AAPL,174.5500030517578,176.14999389648438,172.57000732421875,172.77000427246094,79542000.0,42.221732440989605,,,,,,,,,AAPL,,True,154.52999877929688,-0.11469495229126164,0
AAPL,174.14999389648438,174.89999389648438,173.1199951171875,173.75,62290100.0,37.70945206353033,,,,,,,,,AAPL,,True,155.9600067138672,-0.1044501166817692,0
AAPL,171.52000427246094,173.74000549316406,171.30999755859375,173.02999877929688,70346300.0,21.465965742481547,,,,,,,175.3927878360563,171.18321314050627,AAPL,,True,154.4600067138672,-0.09946360269146101,0
AAPL,171.52000427246094,173.74000549316406,171.30999755859375,173.02999877929688,70346300.0,21.465965742481547,,,,,,,175.49897086599327,170.40903084299111,AAPL,,True,157.3699951171875,-0.08249771923277259,0
AAPL,171.52000427246094,173.74000549316406,171.30999755859375,173.02999877929688,70346300.0,21.46596574248155,,,,,,,175.43633588135523,169.8676680248948,AAPL,,True,157.3699951171875,-0.08249771923277259,0
AAPL,167.57000732421875,169.86000061035156,167.13999938964844,169.69000244140625,69026800.0,11.872592249428532,,,,,,,175.467495412041,167.0445102031934,AAPL,,True,157.3699951171875,-0.06087015433075684,0
AAPL,167.22999572753906,168.7100067138672,166.64999389648438,167.0800018310547,54147100.0,11.400291609221851,,,,,,,173.9144886569091,165.82951769074714,AAPL,,True,163.42999267578125,-0.022723214428283553,0
AAPL,167.52999877929688,168.11000061035156,166.25,167.32000732421875,53841500.0,14.627361072767389,,,,,,,173.0752178201372,165.07278633025345,AAPL,,True,153.83999633789062,-0.08171672262375759,0
AAPL,170.02999877929688,170.13999938964844,168.35000610351562,168.77999877929688,51218200.0,35.658625182454834,,,,,,,172.18177712566643,165.37022482745857,AAPL,,True,155.30999755859375,-0.08657296551422111,0
AAPL,163.6199951171875,171.0500030517578,163.55999755859375,170.57000732421875,78961000.0,21.222588500206644,,,,,,,171.30179528029905,163.09020301071658,AAPL,,True,152.3699951171875,-0.06875687773943859,0
AAPL,163.6199951171875,171.0500030517578,163.55999755859375,170.57000732421875,78961000.0,21.222588500206644,,,,,,,171.35367137257077,161.45832203563236,AAPL,,True,150.6999969482422,-0.07896344306630607,0
AAPL,163.6199951171875,171.0500030517578,163.55999755859375,170.57000732421875,78961000.0,21.222588500206644,,,,,,,170.98122343022862,160.3867697338339,AAPL,,True,150.6999969482422,-0.07896344306630607,0
AAPL,161.3800048828125,162.89999389648438,159.82000732421875,161.14999389648438,73314000.0,18.035753548622818,,,,,,,170.2937170289201,158.61427857654863,AAPL,,True,150.6999969482422,-0.06617925152701348,0
AAPL,158.91000366210938,162.55999755859375,157.72000122070312,162.1300048828125,77906200.0,15.306345559195204,,,,,,,165.97605021089868,158.48394734769505,AAPL,,True,154.47999572753906,-0.027877464177710587,0
AAPL,157.22000122070312,160.5800018310547,157.13999938964844,160.30999755859375,87991100.0,13.77078257354045,,,,,,,166.05036296771246,155.84963703228752,AAPL,,True,156.89999389648438,-0.002035411027440004,0
AAPL,157.9600067138672,158.4199981689453,154.6699981689453,156.63999938964844,74229900.0,17.665793843744197,,,,,,,164.54420334622304,155.09180129244882,AAPL,,True,153.72000122070312,-0.026842272176175058,0
AAPL,155.80999755859375,160.36000061035156,154.97000122070312,159.75,76957800.0,15.47820845360059,,,,,,,161.97954528620983,154.53246032902456,AAPL,,True,152.74000549316406,-0.019703434397880595,0
AAPL,155.80999755859375,160.36000061035156,154.97000122070312,159.75,76957800.0,15.47820845360059,,,165.9895004272461,,165.98950042724607,,159.56679281940154,154.71720986614537,AAPL,,True,150.42999267578125,-0.03452926620314785,0
AAPL,155.80999755859375,160.36000061035156,154.97000122070312,159.75,76957800.0,15.478208453600589,,,165.02002396356494,,165.12050018310543,,158.32774903992913,154.71625120421152,AAPL,,True,150.42999267578125,-0.03452926620314785,0
AAPL,155.80999755859375,160.36000061035156,154.97000122070312,159.75,76957800.0,15.478208453600592,,,164.14287859166294,,164.25950012207028,,157.96000671386713,154.51999206542973,AAPL,,True,150.42999267578125,-0.03452926620314785,0
AAPL,154.52999877929688,157.08999633789062,153.69000244140625,156.47000122070312,73714800.0,14.081842303078753,,,163.22736622858045,,163.25849990844725,,156.5779968261718,154.52999877929696,AAPL,,True,150.77000427246094,-0.024331809593851377,0
AAPL,155.9600067138672,156.6699981689453,153.61000061035156,154.82000732421875,87449600.0,22.494351477949493,,,162.5352367509887,,162.3490005493164,,156.64438609601385,154.52361317156428,AAPL,,True,151.75999450683594,-0.02693005915764561,0
AAPL,154.4600067138672,156.36000061035156,152.67999267578125,154.63999938964844,84923800.0,20.254126625756705,,,161.7661672236438,,161.49600067138672,,156.65663001434996,153.97137291533755,AAPL,,True,149.83999633789062,-0.029910722356337856,0
AAPL,157.3699951171875,157.82000732421875,154.75,155.47000122070312,68028800.0,33.98885519715421,-5.760927378219009,,161.34748416588604,,160.78850021362305,,157.7703318417669,153.48167011135814,AAPL,,True,142.47999572753906,-0.09461777881203096,0
